CAVISOFT datafile for Cavitron 1 and rotor 1. Cavisoft version 5.2.1 has been usedDate_time,Campaign_name,Sample_ref_1,Sample_ref_2,Treatment,Meas_cavispeed_rpm,Max_cavispeed_rpm,Pressure_Mpa,Raw_conductance_kg_Mpa_s,Conductivity_SI_corrT,Std_error_conductivity,PLC,Note,Speed_class,Air_temp1,Air_temp2,Temperature_used_for_correction,Temperature_correctionfactor,Operator,Rotor_number,Species,Sampling_location,Sample_type,Comment,Delta_P_MPa,Pixel_size,Meas_mode,Rotor_diameter,Conductivity_unit,Equation_slope,Equation_intercept,Equation_residue,Equation_pearsonRsquare,Reservoir_crosssection_m2,Sample_crosssection_upstream_m2,mean_diameter_big_res_mm,mean_diameter_small_res_mm,Number_of_stems,Rawdata_TIME,Rawdata_DISTANCE_pixel,Rawdata_DISTANCE_mm,Sample_diameter_rawdata_upstream,Sample_diameter_rawdata_downstream,
10/13/2023 3:13:45 PM,Hultine_Populus_23,22,1,,3230,3230,-0.94,8.16E-05,0.5188471,0.016173,0,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0204974293124067,-0.00139580264722937,0.000320139682253404,0.993837968175151,0.0001,4.09E-05,7.22,4.75,1,1790;3490;5206;6910;8612;10317;12009;13798;,189;182;175;172;165;159;152;149;,5.117175;4.92765;4.738125;4.6569;4.467375;4.304925;4.1154;4.034175;,7.22;,4.75;,
10/13/2023 3:14:17 PM,Hultine_Populus_23,22,1,,3230,3230,-0.94,8.24E-05,0.5236028,0.002437,0,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0206853056045137,-0.00220366678160648,4.8244055383408E-05,0.999074728168087,0.0001,4.09E-05,7.22,4.75,1,1810;3512;5204;6921;8622;10324;12016;13729;,189;182;176;170;164;158;154;148;,5.117175;4.92765;4.7652;4.60275;4.4403;4.27785;4.16955;4.0071;,7.22;,4.75;,
10/13/2023 3:15:11 PM,Hultine_Populus_23,22,1,,3630,3630,-1.2,7.77E-05,0.4941742,0.003887,0,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0246574562047465,-0.00190426788527956,9.71830641848266E-05,0.998690097647419,0.0001,4.09E-05,7.22,4.75,1,1804;3519;5213;6925;8616;10331;12035;13727;,188;180;172;166;160;152;146;141;,5.0901;4.8735;4.6569;4.49445;4.332;4.1154;3.95295;3.817575;,7.22;,4.75;,
10/13/2023 3:15:30 PM,Hultine_Populus_23,22,1,,3630,3630,-1.2,7.04E-05,0.4472648,0.012446,0,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0223168528087895,-0.00831481147388421,0.000311157600940603,0.994889039738404,0.0001,4.09E-05,7.22,4.75,1,1814;3517;5222;6913;8616;10330;12021;13727;,122;116;111;109;104;100;97;93;,3.30315;3.1407;3.005325;2.951175;2.8158;2.7075;2.626275;2.517975;,7.22;,4.75;,
10/13/2023 3:15:55 PM,Hultine_Populus_23,22,1,,3630,3630,-1.2,7.62E-05,0.4845242,0.00085,0,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0241759586006278,-0.00178561801998081,2.12529893921138E-05,0.999701021816728,0.0001,4.09E-05,7.22,4.75,1,1803;3508;5207;6909;8604;10320;12010;13714;,185;177;170;164;157;151;145;139;,5.008875;4.792275;4.60275;4.4403;4.250775;4.088325;3.925875;3.763425;,7.22;,4.75;,
10/13/2023 3:16:53 PM,Hultine_Populus_23,22,1,,4030,4030,-1.484,7.22E-05,0.4589472,0.002452,0,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0282245995485644,-0.00042151690255518,7.55598232698808E-05,0.999220679148911,0.0001,4.09E-05,7.22,4.75,1,1815;3517;5209;6922;8626;10321;12021;13726;,182;174;166;157;150;144;137;131;,4.92765;4.71105;4.49445;4.250775;4.06125;3.8988;3.709275;3.546825;,7.22;,4.75;,
10/13/2023 3:17:11 PM,Hultine_Populus_23,22,1,,4030,4030,-1.484,6.92E-05,0.4396348,0.011109,0,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0270369166313124,-0.00355505919102456,0.000342316584965223,0.996169581917677,0.0001,4.09E-05,7.22,4.75,1,1814;3503;5216;6922;8626;10318;12018;13736;,109;104;99;95;90;86;82;80;,2.951175;2.8158;2.680425;2.572125;2.43675;2.32845;2.22015;2.166;,7.22;,4.75;,
10/13/2023 3:18:03 PM,Hultine_Populus_23,22,1,,4330,4330,-1.722,7.06E-05,0.4485514,0.002217,0,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0318451244911238,-0.00110267667278088,7.88658898297283E-05,0.999362112703792,0.0001,4.09E-05,7.22,4.75,1,1808;3511;5213;6908;8612;10324;12028;13729;,175;165;157;150;141;134;127;120;,4.738125;4.467375;4.250775;4.06125;3.817575;3.62805;3.438525;3.249;,7.22;,4.75;,
10/13/2023 3:18:21 PM,Hultine_Populus_23,22,1,,4330,4330,-1.722,6.71E-05,0.4263092,0.002779,0,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0302660305519149,-0.000827566226415472,9.88599291232131E-05,0.999114247951069,0.0001,4.09E-05,7.22,4.75,1,1809;3511;5203;6904;8610;10314;12014;13731;,101;96;91;87;82;78;74;71;,2.734575;2.5992;2.463825;2.355525;2.22015;2.11185;2.00355;1.922325;,7.22;,4.75;,
10/13/2023 3:19:27 PM,Hultine_Populus_23,22,1,,4630,4630,-1.971,7.13E-05,0.4530844,0.003427,0,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0367786764671532,-0.00155505692476249,0.000139372900620662,0.999154779871321,0.0001,4.09E-05,7.22,4.75,1,1801;3503;5194;6912;8616;10319;12010;13720;,177;166;156;148;137;130;122;115;,4.792275;4.49445;4.2237;4.0071;3.709275;3.51975;3.30315;3.113625;,7.22;,4.75;,
