CAVISOFT datafile for Cavitron 1 and rotor 1. Cavisoft version 5.2.1 has been used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_time,Campaign_name,Sample_ref_1,Sample_ref_2,Treatment,Meas_cavispeed_rpm,Max_cavispeed_rpm,Pressure_Mpa,Raw_conductance_kg_Mpa_s,Conductivity_SI_corrT,Std_error_conductivity,PLC,Note,Speed_class,Air_temp1,Air_temp2,Temperature_used_for_correction,Temperature_correctionfactor,Operator,Rotor_number,Species,Sampling_location,Sample_type,Comment,Delta_P_MPa,Pixel_size,Meas_mode,Rotor_diameter,Conductivity_unit,Equation_slope,Equation_intercept,Equation_residue,Equation_pearsonRsquare,Reservoir_crosssection_m2,Sample_crosssection_upstream_m2,mean_diameter_big_res_mm,mean_diameter_small_res_mm,Number_of_stems,Rawdata_TIME,Rawdata_DISTANCE_pixel,Rawdata_DISTANCE_mm,Sample_diameter_rawdata_upstream,Sample_diameter_rawdata_downstream
10/6/23 16:06,Hultine_Populus_23,64,1,,3230,3230,-0.967,2.60E-05,0.2861853,0.002852,-36.93,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.005046498,-0.001548961,2.52E-05,0.996866067,0.0001,2.36E-05,5.48,2.61,1,2042;4010;5960;7903;9857;11820;13761;15729;17681;19622;,176;174;172;171;169;167;166;164;163;161;,4.7652;4.71105;4.6569;4.629825;4.575675;4.521525;4.49445;4.4403;4.413225;4.359075;,5.48;,2.61;
10/6/23 16:07,Hultine_Populus_23,64,1,,3230,3230,-0.967,2.50E-05,0.2757128,0.009578,-31.92,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00486183,-0.001048321,8.46E-05,0.98875699,0.0001,2.36E-05,5.48,2.61,1,2051;3995;5962;7902;9868;11806;13771;15723;17676;19631;,153;151;150;148;148;146;145;143;142;140;,4.142475;4.088325;4.06125;4.0071;4.0071;3.95295;3.925875;3.871725;3.84465;3.7905;,5.48;,2.61;
10/6/23 16:07,Hultine_Populus_23,64,1,,3230,3230,-0.967,2.16E-05,0.2374594,0.003601,-13.62,bad,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.004187283,-0.004546177,3.18E-05,0.994267393,0.0001,2.36E-05,5.48,2.61,1,2037;3999;5942;7894;9848;11813;13754;15705;17662;19625;,136;134;133;132;131;130;129;128;127;126;,3.6822;3.62805;3.600975;3.5739;3.546825;3.51975;3.492675;3.4656;3.438525;3.41145;,5.48;,2.61;
10/6/23 16:08,Hultine_Populus_23,64,1,,3230,3230,-0.967,2.84E-05,0.3129045,0.006836,-49.71,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.005517657,-0.003013355,6.04E-05,0.993741588,0.0001,2.36E-05,5.48,2.61,1,2045;4009;5963;7916;9874;11814;13779;15731;17685;19637;,184;182;179;177;176;174;172;170;169;167;,4.9818;4.92765;4.846425;4.792275;4.7652;4.71105;4.6569;4.60275;4.575675;4.521525;,5.48;,2.61;
10/6/23 16:08,Hultine_Populus_23,64,1,,3230,3230,-0.967,2.76E-05,0.3042687,0.003476,-45.58,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.005365374,-0.000579578,3.07E-05,0.996617067,0.0001,2.36E-05,5.48,2.61,1,2055;4007;5949;7913;9868;11809;13767;15715;17670;19621;,154;152;151;149;148;146;145;143;142;140;,4.16955;4.1154;4.088325;4.034175;4.0071;3.95295;3.925875;3.871725;3.84465;3.7905;,5.48;,2.61;
10/6/23 16:09,Hultine_Populus_23,64,1,,3630,3630,-1.221,2.86E-05,0.3149053,0.002728,-50.67,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.007013438,-0.00220492,3.04E-05,0.998035661,0.0001,2.36E-05,5.48,2.61,1,2051;4005;5957;7911;9863;11806;13770;15722;17676;19619;,190;187;184;182;180;177;175;173;170;168;,5.14425;5.063025;4.9818;4.92765;4.8735;4.792275;4.738125;4.683975;4.60275;4.5486;,5.48;,2.61;
10/6/23 16:10,Hultine_Populus_23,64,1,,3630,3630,-1.221,2.52E-05,0.2773698,0.013314,-32.71,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.006177464,-0.000104889,0.000148574,0.987782676,0.0001,2.36E-05,5.48,2.61,1,2055;4012;5954;7908;9873;11823;13765;15731;17681;19634;,161;159;157;156;153;152;149;149;147;144;,4.359075;4.304925;4.250775;4.2237;4.142475;4.1154;4.034175;4.034175;3.980025;3.8988;,5.48;,2.61;
10/6/23 16:10,Hultine_Populus_23,64,1,,3630,3630,-1.221,2.73E-05,0.3006409,0.008801,-43.85,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.006695749,-0.002741867,9.82E-05,0.993094124,0.0001,2.36E-05,5.48,2.61,1,2032;3999;5938;7901;9854;11811;13754;15707;17674;19625;,165;162;160;158;157;155;152;150;148;147;,4.467375;4.38615;4.332;4.27785;4.250775;4.196625;4.1154;4.06125;4.0071;3.980025;,5.48;,2.61;
10/6/23 16:11,Hultine_Populus_23,64,1,,4030,4030,-1.505,2.83E-05,0.3114496,0.002457,-49.02,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.008549402,-0.00129327,3.38E-05,0.998532357,0.0001,2.36E-05,5.48,2.61,1,2039;4004;5958;7897;9860;11812;13755;15710;17677;19617;,188;184;182;179;176;173;170;167;165;162;,5.0901;4.9818;4.92765;4.846425;4.7652;4.683975;4.60275;4.521525;4.467375;4.38615;,5.48;,2.61;
10/6/23 16:12,Hultine_Populus_23,64,1,,4030,4030,-1.505,2.76E-05,0.3035539,0.006369,-45.24,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00833266,-1.54E-05,8.76E-05,0.996013146,0.0001,2.36E-05,5.48,2.61,1,2042;3992;5945;7899;9851;11814;13770;15714;17678;19630;,153;150;149;146;143;141;139;137;135;132;,4.142475;4.06125;4.034175;3.95295;3.871725;3.817575;3.763425;3.709275;3.655125;3.5739;,5.48;,2.61;
