CAVISOFT datafile for Cavitron 1 and rotor 1. Cavisoft version 5.2.1 has been usedDate_time,Campaign_name,Sample_ref_1,Sample_ref_2,Treatment,Meas_cavispeed_rpm,Max_cavispeed_rpm,Pressure_Mpa,Raw_conductance_kg_Mpa_s,Conductivity_SI_corrT,Std_error_conductivity,PLC,Note,Speed_class,Air_temp1,Air_temp2,Temperature_used_for_correction,Temperature_correctionfactor,Operator,Rotor_number,Species,Sampling_location,Sample_type,Comment,Delta_P_MPa,Pixel_size,Meas_mode,Rotor_diameter,Conductivity_unit,Equation_slope,Equation_intercept,Equation_residue,Equation_pearsonRsquare,Reservoir_crosssection_m2,Sample_crosssection_upstream_m2,mean_diameter_big_res_mm,mean_diameter_small_res_mm,Number_of_stems,Rawdata_TIME,Rawdata_DISTANCE_pixel,Rawdata_DISTANCE_mm,Sample_diameter_rawdata_upstream,Sample_diameter_rawdata_downstream,
10/13/2023 1:43:16 PM,Hultine_Populus_23,18,1,,3230,3230,-0.939,3.55E-05,0.391526,0.025031,-49.53,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00690404215576953,-0.00099798495410699,0.000221157242580636,0.986138581794352,0.0001,2.36E-05,5.477,2.65,1,2091;4091;6086;8091;10091;12091;14093;16092;18097;20087;,146;144;143;140;137;136;134;132;131;130;,3.95295;3.8988;3.871725;3.7905;3.709275;3.6822;3.62805;3.5739;3.546825;3.51975;,5.477;,2.65;,
10/13/2023 1:44:04 PM,Hultine_Populus_23,18,1,,3230,3230,-0.939,3.73E-05,0.4108739,0.02333,-56.92,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00724521740312425,0.0048423807540937,0.000206130574240914,0.988243404714266,0.0001,2.36E-05,5.477,2.65,1,2097;4092;6092;8094;10096;12090;14095;16093;18095;20099;,169;168;164;163;162;158;156;154;151;149;,4.575675;4.5486;4.4403;4.413225;4.38615;4.27785;4.2237;4.16955;4.088325;4.034175;,5.477;,2.65;,
10/13/2023 1:45:57 PM,Hultine_Populus_23,18,1,,3630,3630,-1.199,3.57E-05,0.3928246,0.009273,-50.02,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00874882554608508,-0.000868314923742008,0.000103479337729161,0.983900382961491,0.0001,2.36E-05,5.477,2.65,1,2101;4102;6099;8098;10097;13255;,159;157;153;150;148;145;,4.304925;4.250775;4.142475;4.06125;4.0071;3.925875;,5.477;,2.65;,
10/13/2023 1:46:17 PM,Hultine_Populus_23,18,1,,3630,3630,-1.199,3.58E-05,0.394373,0.019211,-50.62,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00878330901053012,0.00833650277301337,0.000214377245230155,0.977710406358872,0.0001,2.36E-05,5.477,2.65,1,1798;3504;5209;6917;8613;10327;12019;13723;,134;134;132;129;127;126;123;122;,3.62805;3.62805;3.5739;3.492675;3.438525;3.41145;3.330225;3.30315;,5.477;,2.65;,
10/13/2023 1:47:14 PM,Hultine_Populus_23,18,1,,4030,4030,-1.476,3.49E-05,0.3844832,0.018085,-46.84,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0105541984887266,0.00316723331302275,0.000248745391244316,0.98198971208928,0.0001,2.36E-05,5.477,2.65,1,1811;3502;5215;6916;8612;10322;12026;13723;,160;158;154;154;150;146;144;142;,4.332;4.27785;4.16955;4.16955;4.06125;3.95295;3.8988;3.84465;,5.477;,2.65;,
10/13/2023 1:47:30 PM,Hultine_Populus_23,18,1,,4030,4030,-1.476,3.43E-05,0.3775235,0.020384,-44.18,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0103631510931799,0.00418217759088027,0.000280359809726812,0.965908775877415,0.0001,2.36E-05,5.477,2.65,1,1795;4746;6188;7639;9102;10554;11998;,133;131;128;125;123;122;121;,3.600975;3.546825;3.4656;3.384375;3.330225;3.30315;3.276075;,5.477;,2.65;,
10/13/2023 1:48:36 PM,Hultine_Populus_23,18,1,,4330,4330,-1.707,3.64E-05,0.4010785,0.015683,-53.18,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0127099229394694,0.00306303390373376,0.000249014778449538,0.982905566182257,0.0001,2.36E-05,5.477,2.65,1,1553;3010;4452;5915;7367;8810;10265;11728;,164;163;159;154;153;150;148;145;,4.4403;4.413225;4.304925;4.16955;4.142475;4.06125;4.0071;3.925875;,5.477;,2.65;,
10/13/2023 1:49:06 PM,Hultine_Populus_23,18,1,,4330,4330,-1.707,3.25E-05,0.3583772,0.029117,-36.87,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.011356747200261,-0.00284134129534405,0.000462307434539821,0.961113960527461,0.0001,2.36E-05,5.477,2.65,1,1547;3011;4463;5916;7359;8820;10263;11722;,113;111;109;107;105;103;104;100;,3.059475;3.005325;2.951175;2.897025;2.842875;2.788725;2.8158;2.7075;,5.477;,2.65;,
10/13/2023 1:50:26 PM,Hultine_Populus_23,18,1,,4630,4630,-1.966,3.55E-05,0.3909262,0.006026,-49.3,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0141642823831384,0.000865260802376436,0.000109398881959115,0.993879874136411,0.0001,2.36E-05,5.477,2.65,1,1541;3002;4452;5909;7351;8806;10260;11709;,167;164;161;157;154;151;147;146;,4.521525;4.4403;4.359075;4.250775;4.16955;4.088325;3.980025;3.95295;,5.477;,2.65;,
10/13/2023 1:50:42 PM,Hultine_Populus_23,18,1,,4630,4630,-1.966,3.29E-05,0.3629212,0.010984,-38.6,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0131495853186086,0.00054971650287565,0.000199406151241335,0.987178716868638,0.0001,2.36E-05,5.477,2.65,1,1545;2998;4453;5901;7366;8812;10262;11727;,132;130;127;124;123;120;119;115;,3.5739;3.51975;3.438525;3.3573;3.330225;3.249;3.221925;3.113625;,5.477;,2.65;,
10/13/2023 1:51:43 PM,Hultine_Populus_23,18,1,,4930,4930,-2.215,3.43E-05,0.3777497,0.006918,-44.27,,f,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1699,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.015518001243668,-0.00225165539348712,0.000142393715813056,0.993375096204791,0.0001,2.36E-05,5.477,2.65,1,1543;2995;4457;5905;7359;8820;10258;11713;,157;153;150;147;143;139;137;135;,4.250775;4.142475;4.06125;3.980025;3.871725;3.763425;3.709275;3.655125;,5.477;,2.65;,
