CAVISOFT datafile for Cavitron 1 and rotor 1. Cavisoft version 5.2.1 has been usedDate_time,Campaign_name,Sample_ref_1,Sample_ref_2,Treatment,Meas_cavispeed_rpm,Max_cavispeed_rpm,Pressure_Mpa,Raw_conductance_kg_Mpa_s,Conductivity_SI_corrT,Std_error_conductivity,PLC,Note,Speed_class,Air_temp1,Air_temp2,Temperature_used_for_correction,Temperature_correctionfactor,Operator,Rotor_number,Species,Sampling_location,Sample_type,Comment,Delta_P_MPa,Pixel_size,Meas_mode,Rotor_diameter,Conductivity_unit,Equation_slope,Equation_intercept,Equation_residue,Equation_pearsonRsquare,Reservoir_crosssection_m2,Sample_crosssection_upstream_m2,mean_diameter_big_res_mm,mean_diameter_small_res_mm,Number_of_stems,Rawdata_TIME,Rawdata_DISTANCE_pixel,Rawdata_DISTANCE_mm,Sample_diameter_rawdata_upstream,Sample_diameter_rawdata_downstream,
10/12/2023 12:39:17 PM,Hultine_Populus_23,30,1,,3230,3230,-0.967,1.33E-05,0.1016521,0.010602,-10.12,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00300268301456954,-0.00166390671808312,0.000156909430374658,0.97435227292336,0.0001,3.41E-05,6.59,3.705,1,2004;3912;5819;7726;9632;11538;13442;15351;17255;19154;21067;22973;24878;,176;174;174;174;172;170;170;168;168;167;166;165;165;,4.7652;4.71105;4.71105;4.71105;4.6569;4.60275;4.60275;4.5486;4.5486;4.521525;4.49445;4.467375;4.467375;,6.59;,3.705;,
10/12/2023 12:39:54 PM,Hultine_Populus_23,30,1,,3230,3230,-0.967,1.28E-05,0.0977139,0.018186,-5.86,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00288635305853847,0.00284733068233356,0.000269158156648816,0.953423985616358,0.0001,3.41E-05,6.59,3.705,1,2012;3914;5826;7730;9635;11542;13443;15354;17261;19165;21076;22979;24886;,159;159;158;156;157;154;155;154;153;151;152;150;149;,4.304925;4.304925;4.27785;4.2237;4.250775;4.16955;4.196625;4.16955;4.142475;4.088325;4.1154;4.06125;4.034175;,6.59;,3.705;,
10/12/2023 12:41:10 PM,Hultine_Populus_23,30,1,,3630,3630,-1.188,1.37E-05,0.1047241,0.004307,-13.45,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00390703949292409,-0.000538701696849536,8.0506680391163E-05,0.9920892159134,0.0001,3.41E-05,6.59,3.705,1,2003;3916;5823;7717;9627;11532;13441;15345;17260;19162;21068;22974;24881;,184;182;181;180;179;177;176;175;174;173;171;169;168;,4.9818;4.92765;4.900575;4.8735;4.846425;4.792275;4.7652;4.738125;4.71105;4.683975;4.629825;4.575675;4.5486;,6.59;,3.705;,
10/12/2023 12:41:36 PM,Hultine_Populus_23,30,1,,3630,3630,-1.188,1.32E-05,0.1005943,0.004115,-8.98,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00375296570401481,-0.00205176115488027,7.69181185793009E-05,0.982116269291111,0.0001,3.41E-05,6.59,3.705,1,2001;3913;5820;7719;9629;11538;13444;15349;17258;19162;,164;162;161;160;160;158;157;156;155;153;,4.4403;4.38615;4.359075;4.332;4.332;4.27785;4.250775;4.2237;4.196625;4.142475;,6.59;,3.705;,
10/12/2023 12:42:42 PM,Hultine_Populus_23,30,1,,4030,4030,-1.465,1.32E-05,0.1005961,0.005552,-8.99,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00462572116588072,0.00192352244267958,0.000127922951836406,0.980444513328442,0.0001,3.41E-05,6.59,3.705,1,1999;3904;5810;7715;9621;11528;13435;15338;17250;19152;,183;183;180;178;177;175;174;173;172;169;,4.954725;4.954725;4.8735;4.81935;4.792275;4.738125;4.71105;4.683975;4.6569;4.575675;,6.59;,3.705;,
10/12/2023 12:43:05 PM,Hultine_Populus_23,30,1,,4030,4030,-1.465,1.27E-05,0.0969357,0.008124,-5.02,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00445740486764153,0.00155893972978718,0.000187185231280326,0.969547482005616,0.0001,3.41E-05,6.59,3.705,1,1999;3908;5810;7724;9631;11536;13445;15349;17253;19159;,165;165;163;161;159;158;156;156;155;154;,4.467375;4.467375;4.413225;4.359075;4.304925;4.27785;4.2237;4.2237;4.196625;4.16955;,6.59;,3.705;,
10/12/2023 12:44:07 PM,Hultine_Populus_23,30,1,,4330,4330,-1.691,1.25E-05,0.095556,0.001264,-3.53,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0050724985812445,0.00293483442629244,3.36319355008048E-05,0.994038029417126,0.0001,3.41E-05,6.59,3.705,1,2007;3917;5823;7727;9636;11538;13441;15350;17258;,182;181;179;178;176;174;172;171;169;,4.92765;4.900575;4.846425;4.81935;4.7652;4.71105;4.6569;4.629825;4.575675;,6.59;,3.705;,
10/12/2023 12:44:34 PM,Hultine_Populus_23,30,1,,4330,4330,-1.691,1.28E-05,0.0973043,0.001415,-5.41,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00516530556897624,0.000702892100604757,3.76226941978797E-05,0.993573459863098,0.0001,3.41E-05,6.59,3.705,1,2005;3912;5815;7722;9631;11535;13440;15348;17255;,159;158;156;154;153;152;150;149;147;,4.304925;4.27785;4.2237;4.16955;4.142475;4.1154;4.06125;4.034175;3.980025;,6.59;,3.705;,
10/12/2023 12:45:46 PM,Hultine_Populus_23,30,1,,4630,4630,-1.936,1.28E-05,0.0979704,0.001515,-6.14,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00594627335133444,0.00345370882101794,4.60693882873571E-05,0.994062375301505,0.0001,3.41E-05,6.59,3.705,1,2004;3911;5820;7725;9630;11539;13443;15352;17259;,181;180;178;176;173;172;170;168;166;,4.900575;4.8735;4.81935;4.7652;4.683975;4.6569;4.60275;4.5486;4.49445;,6.59;,3.705;,
10/12/2023 12:46:06 PM,Hultine_Populus_23,30,1,,4630,4630,-1.936,1.26E-05,0.0957376,0.000863,-3.72,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00581075686886978,0.000430207648728878,2.62408907169493E-05,0.994934687422355,0.0001,3.41E-05,6.59,3.705,1,2005;3913;5812;7729;9634;11541;13440;15350;,160;158;157;155;153;152;150;148;,4.332;4.27785;4.250775;4.196625;4.142475;4.1154;4.06125;4.0071;,6.59;,3.705;,
10/12/2023 12:47:14 PM,Hultine_Populus_23,30,1,,4930,4930,-2.195,8E-06,0.0612415,0.001831,33.65,,f,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1699,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00421432021410414,-0.00222384883095191,6.31152957189128E-05,0.981219043468148,0.0001,3.41E-05,6.59,3.705,1,1591;3097;4598;6094;7592;9096;10597;12094;13594;15097;,183;181;181;179;178;177;175;175;174;173;,4.954725;4.900575;4.900575;4.846425;4.81935;4.792275;4.738125;4.738125;4.71105;4.683975;,6.59;,3.705;,
10/12/2023 12:47:52 PM,Hultine_Populus_23,30,1,,4930,4930,-2.195,7.9E-06,0.0604833,0.002577,34.48,,f,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1699,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00416214384130883,-0.00307354397185299,8.88483741761335E-05,0.973099267263757,0.0001,3.41E-05,6.59,3.705,1,1591;3089;4590;6091;7587;9090;10589;12088;13588;15086;,170;168;167;167;165;165;163;162;161;161;,4.60275;4.5486;4.521525;4.521525;4.467375;4.467375;4.413225;4.38615;4.359075;4.359075;,6.59;,3.705;,
10/12/2023 12:49:02 PM,Hultine_Populus_23,30,1,,5230,5230,-2.464,3.5E-06,0.0265314,0.002435,71.26,,g,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1912,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00205471267311359,-0.00116214527096652,9.44833205456025E-05,0.892440621978663,0.0001,3.41E-05,6.59,3.705,1,1588;3086;4589;6088;7587;9087;10586;12086;13586;15095;,185;184;184;183;183;181;182;180;181;180;,5.008875;4.9818;4.9818;4.954725;4.954725;4.900575;4.92765;4.8735;4.900575;4.8735;,6.59;,3.705;,
10/12/2023 12:49:19 PM,Hultine_Populus_23,30,1,,5230,5230,-2.464,3.4E-06,0.0258816,0.001756,71.96,,g,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1912,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00200438832073574,0.00235097261363098,6.81533914451466E-05,0.888358328970271,0.0001,3.41E-05,6.59,3.705,1,1601;3098;4596;6100;7597;9099;10599;12096;13600;,177;177;176;176;176;175;175;173;173;,4.792275;4.792275;4.7652;4.7652;4.7652;4.738125;4.738125;4.683975;4.683975;,6.59;,3.705;,
10/12/2023 12:50:23 PM,Hultine_Populus_23,30,1,,5430,5430,-2.643,1.2E-06,0.0088403,0.00088,90.42,,h,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.2061,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.000737995219934763,0.00221539413257105,3.68272856115032E-05,0.732975718794874,0.0001,3.41E-05,6.59,3.705,1,1587;3087;4588;6088;7585;9086;10591;12084;13587;15087;,185;185;185;185;185;185;184;184;184;183;,5.008875;5.008875;5.008875;5.008875;5.008875;5.008875;4.9818;4.9818;4.9818;4.954725;,6.59;,3.705;,
