CAVISOFT datafile for Cavitron 1 and rotor 1. Cavisoft version 5.2.1 has been usedDate_time,Campaign_name,Sample_ref_1,Sample_ref_2,Treatment,Meas_cavispeed_rpm,Max_cavispeed_rpm,Pressure_Mpa,Raw_conductance_kg_Mpa_s,Conductivity_SI_corrT,Std_error_conductivity,PLC,Note,Speed_class,Air_temp1,Air_temp2,Temperature_used_for_correction,Temperature_correctionfactor,Operator,Rotor_number,Species,Sampling_location,Sample_type,Comment,Delta_P_MPa,Pixel_size,Meas_mode,Rotor_diameter,Conductivity_unit,Equation_slope,Equation_intercept,Equation_residue,Equation_pearsonRsquare,Reservoir_crosssection_m2,Sample_crosssection_upstream_m2,mean_diameter_big_res_mm,mean_diameter_small_res_mm,Number_of_stems,Rawdata_TIME,Rawdata_DISTANCE_pixel,Rawdata_DISTANCE_mm,Sample_diameter_rawdata_upstream,Sample_diameter_rawdata_downstream,
10/12/2023 12:10:25 PM,Hultine_Populus_23,45,1,,3230,3230,-0.967,2.3E-06,0.0178718,0.019644,80.64,bad,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0005070549242549,-0.00785283798957542,0.000279243972841544,0.26908263429054,0.0001,3.32E-05,6.505,3.886,1,2000;3910;5815;7717;9625;11531;13440;15348;17253;19160;21066;,184;182;182;181;181;182;183;180;182;181;181;,4.9818;4.92765;4.92765;4.900575;4.900575;4.92765;4.954725;4.8735;4.92765;4.900575;4.900575;,6.505;,3.886;,
10/12/2023 12:11:37 PM,Hultine_Populus_23,45,1,,3630,3630,-1.221,3.4E-06,0.0268852,0.003269,70.87,bad,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.000963402222765322,0.0025611824937748,5.86880808624013E-05,0.863420397192076,0.0001,3.32E-05,6.505,3.886,1,2009;3917;5827;7728;9637;11540;13450;15355;17263;19165;21074;,183;183;183;183;182;182;181;182;181;180;180;,4.954725;4.954725;4.954725;4.954725;4.92765;4.92765;4.900575;4.92765;4.900575;4.8735;4.8735;,6.505;,3.886;,
10/12/2023 12:12:06 PM,Hultine_Populus_23,45,1,,3630,3630,-1.221,4.3E-06,0.0333399,0.001559,63.88,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00119469935260488,-0.00127380180430373,2.79834872875585E-05,0.953236252389615,0.0001,3.32E-05,6.505,3.886,1,1998;3907;5812;7717;9623;11528;13433;15339;17253;19155;21058;,177;176;176;176;175;175;174;174;174;173;173;,4.792275;4.7652;4.7652;4.7652;4.738125;4.738125;4.71105;4.71105;4.71105;4.683975;4.683975;,6.505;,3.886;,
10/12/2023 12:17:32 PM,Hultine_Populus_23,45,1,,4030,4030,-1.449,1.8E-06,0.0139951,0.001965,84.83,bad,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.000618110616744103,-0.00126986622237332,4.34788029476198E-05,0.778402076994471,0.0001,3.32E-05,6.505,3.886,1,2010;3915;5823;7729;9635;11542;13447;15352;17261;19167;21073;,182;181;182;181;181;181;180;180;180;180;180;,4.92765;4.900575;4.92765;4.900575;4.900575;4.900575;4.8735;4.8735;4.8735;4.8735;4.8735;,6.505;,3.886;,
10/12/2023 12:18:59 PM,Hultine_Populus_23,45,1,,4030,4030,-1.449,2.6E-06,0.0205291,0.001522,77.76,bad,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.000906691846458766,0.00236548590028406,3.36757489215234E-05,0.907109421620665,0.0001,3.32E-05,6.505,3.886,1,1995;3902;5807;7718;9622;11528;13434;15343;17251;19153;21069;,178;178;178;178;177;177;177;176;176;176;175;,4.81935;4.81935;4.81935;4.81935;4.792275;4.792275;4.792275;4.7652;4.7652;4.7652;4.738125;,6.505;,3.886;,
10/12/2023 12:19:34 PM,Hultine_Populus_23,45,1,,4030,4030,-1.449,3.6E-06,0.0282291,0.005781,69.42,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00124677594147471,0.00472306899678295,0.000127940314258958,0.925159360513271,0.0001,3.32E-05,6.505,3.886,1,2004;3914;5817;7719;9632;11538;13442;15352;17255;19160;21062;22974;24879;26787;28694;,161;161;161;161;160;161;160;159;159;158;158;158;157;157;156;,4.359075;4.359075;4.359075;4.359075;4.332;4.359075;4.332;4.304925;4.304925;4.27785;4.27785;4.27785;4.250775;4.250775;4.2237;,6.505;,3.886;,
10/12/2023 12:20:12 PM,Hultine_Populus_23,45,1,,4030,4030,-1.449,4.6E-06,0.0361659,0.002439,60.81,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00159731303336936,-0.00103980147980553,5.3968204996619E-05,0.97963460435379,0.0001,3.32E-05,6.505,3.886,1,2014;3921;5821;7732;9638;11543;13447;15353;17265;19165;21076;22982;24887;26797;28699;,182;181;181;180;180;179;178;178;178;177;176;176;176;175;174;,4.92765;4.900575;4.900575;4.8735;4.8735;4.846425;4.81935;4.81935;4.81935;4.792275;4.7652;4.7652;4.7652;4.738125;4.71105;,6.505;,3.886;,
10/12/2023 12:21:53 PM,Hultine_Populus_23,45,1,,4340,4340,-1.681,4.3E-06,0.0339229,0.003175,63.25,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1317,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00173761402763151,0.000703400206783833,8.149600067591E-05,0.974157309381097,0.0001,3.32E-05,6.505,3.886,1,1995;3905;5812;7721;9622;11529;13438;15344;17247;19157;21064;22962;24874;26780;28686;,181;180;180;179;179;178;178;178;177;176;175;175;174;173;173;,4.900575;4.8735;4.8735;4.846425;4.846425;4.81935;4.81935;4.81935;4.792275;4.7652;4.738125;4.738125;4.71105;4.683975;4.683975;,6.505;,3.886;,
10/12/2023 12:22:29 PM,Hultine_Populus_23,45,1,,4340,4340,-1.681,4E-06,0.0314527,0.001393,65.93,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1317,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00161108214201446,0.00154464161870276,3.57583158161709E-05,0.986638105481192,0.0001,3.32E-05,6.505,3.886,1,2010;3917;5820;7726;9636;11540;13445;15356;17260;19163;21069;22978;24886;26782;28697;,169;169;168;168;167;167;166;166;165;165;164;164;163;163;162;,4.575675;4.575675;4.5486;4.5486;4.521525;4.521525;4.49445;4.49445;4.467375;4.467375;4.4403;4.4403;4.413225;4.413225;4.38615;,6.505;,3.886;,
10/12/2023 12:24:12 PM,Hultine_Populus_23,45,1,,4630,4630,-1.923,4.2E-06,0.0331069,0.003315,64.13,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00193001716670042,6.46763454487195E-05,9.6831395386112E-05,0.962183251638511,0.0001,3.32E-05,6.505,3.886,1,1993;3906;5809;7720;9624;11530;13437;15341;17249;19155;21064;22962;24874;,177;176;177;175;174;174;173;172;172;171;171;170;170;,4.792275;4.7652;4.792275;4.738125;4.71105;4.71105;4.683975;4.6569;4.6569;4.629825;4.629825;4.60275;4.60275;,6.505;,3.886;,
