Population,R2,coverage,bias
CCR-COL,0.9757261699798404,0.9512195121951219,0.9897159013179582
JLA-JAK,0.9853122571765283,0.9945652173913043,1.0445483345980455
NRV-NEW,0.9721994703439458,0.9381443298969071,1.0145315504394685
TSZ-SAN,0.9792780336576212,0.9703703703703703,1.0265575462252845
all,0.9778097279366885,0.9623955431754874,0.961077005461473
